epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1507.01,1.23256,1.12465,1.38637,0.65117,0.66769,0.68627,0.37079,1.63847,1.09128,1.67209,0.000902021,0.000902021,0.000902021
59,1528.63,1.22628,1.10074,1.39127,0.65483,0.65514,0.68919,0.35995,1.66841,1.11189,1.75629,0.000898355,0.000898355,0.000898355
60,1550.86,1.21662,1.08054,1.40308,0.56924,0.77035,0.71036,0.3764,1.67201,1.10678,1.77213,0.000894688,0.000894688,0.000894688
61,1572.89,1.22629,1.06261,1.4005,0.68541,0.74061,0.75109,0.39369,1.65175,1.05583,1.66923,0.000891022,0.000891022,0.000891022
62,1594.95,1.23023,1.0859,1.39715,0.6957,0.6518,0.75741,0.39911,1.69114,1.08052,1.76875,0.000887356,0.000887356,0.000887356
63,1617.21,1.20713,1.07271,1.38564,0.56431,0.79365,0.7151,0.38002,1.68206,1.11248,1.74485,0.000883689,0.000883689,0.000883689
64,1638.5,1.19993,1.02936,1.37252,0.58217,0.74059,0.70564,0.37132,1.67171,1.09695,1.72883,0.000880023,0.000880023,0.000880023
65,1659.25,1.21521,1.09436,1.39715,0.53376,0.79731,0.65648,0.33916,1.69881,1.15857,1.75847,0.000876357,0.000876357,0.000876357
66,1680,1.19867,1.03674,1.38211,0.56807,0.81715,0.7277,0.37452,1.69689,1.06489,1.76126,0.000872691,0.000872691,0.000872691
67,1700.89,1.1914,0.99317,1.37735,0.62611,0.71612,0.76685,0.40097,1.66606,1.03591,1.76902,0.000869024,0.000869024,0.000869024
68,1721.71,1.21347,1.01663,1.3808,0.60903,0.66799,0.65313,0.34121,1.68612,1.09135,1.75252,0.000865358,0.000865358,0.000865358
69,1742.49,1.19543,1.02145,1.366,0.54819,0.74851,0.64096,0.32746,1.69114,1.09922,1.75302,0.000861692,0.000861692,0.000861692
70,1763.26,1.18713,1.03881,1.37242,0.60937,0.72657,0.7086,0.33792,1.7272,1.10139,1.85079,0.000858025,0.000858025,0.000858025
71,1784.07,1.18424,0.99777,1.3734,0.5338,0.79878,0.68503,0.35331,1.62783,1.05994,1.69147,0.000854359,0.000854359,0.000854359
72,1805.09,1.17929,1.0008,1.36225,0.54613,0.74437,0.65183,0.3564,1.66831,1.13919,1.7165,0.000850693,0.000850693,0.000850693
73,1826.34,1.17277,0.99818,1.36187,0.69585,0.55138,0.64915,0.32306,1.69487,1.13923,1.76893,0.000847026,0.000847026,0.000847026
74,1847.37,1.15546,0.96979,1.34795,0.6556,0.73665,0.68471,0.35709,1.70584,1.07632,1.76867,0.00084336,0.00084336,0.00084336
75,1868.41,1.16696,0.96904,1.35134,0.6459,0.67766,0.69296,0.36159,1.65941,1.07219,1.77545,0.000839694,0.000839694,0.000839694
76,1889.22,1.16465,0.98065,1.34112,0.59521,0.68727,0.671,0.3464,1.68147,1.1619,1.79929,0.000836027,0.000836027,0.000836027
77,1909.99,1.14796,0.99152,1.34152,0.53826,0.75652,0.66866,0.34542,1.65707,1.07397,1.77447,0.000832361,0.000832361,0.000832361
78,1930.84,1.12509,0.94043,1.32044,0.57402,0.75182,0.69694,0.3514,1.67413,1.09636,1.75235,0.000828695,0.000828695,0.000828695
79,1951.58,1.1383,0.99545,1.3334,0.54649,0.78929,0.69457,0.37268,1.66898,1.09555,1.77652,0.000825029,0.000825029,0.000825029
80,1972.34,1.12755,0.94062,1.325,0.62977,0.635,0.65038,0.34724,1.71685,1.15546,1.79015,0.000821362,0.000821362,0.000821362
81,1993.33,1.11307,0.93771,1.31295,0.59602,0.76094,0.68293,0.35892,1.65576,1.14756,1.73771,0.000817696,0.000817696,0.000817696
82,2014.23,1.13455,0.93575,1.31984,0.63953,0.67599,0.67804,0.35676,1.6849,1.08464,1.74502,0.00081403,0.00081403,0.00081403
83,2035.04,1.13479,0.97772,1.33822,0.48287,0.77093,0.65558,0.35762,1.66881,1.14216,1.76515,0.000810363,0.000810363,0.000810363
84,2055.92,1.08993,0.89919,1.29367,0.59966,0.63598,0.65691,0.35101,1.69724,1.06654,1.76719,0.000806697,0.000806697,0.000806697
85,2076.81,1.10182,0.92588,1.31015,0.58765,0.74541,0.68013,0.37641,1.64473,1.04134,1.75125,0.000803031,0.000803031,0.000803031
86,2097.66,1.13258,0.93733,1.32796,0.51156,0.80435,0.63167,0.31715,1.74368,1.1192,1.80276,0.000799365,0.000799365,0.000799365
87,2118.92,1.09111,0.90925,1.29804,0.53261,0.7537,0.68579,0.36703,1.68271,1.09186,1.74923,0.000795698,0.000795698,0.000795698
88,2139.77,1.11497,0.93116,1.3035,0.58603,0.66678,0.70841,0.37211,1.71636,1.1063,1.7472,0.000792032,0.000792032,0.000792032
89,2160.76,1.10006,0.89245,1.29691,0.53829,0.75251,0.64578,0.3491,1.67892,1.15086,1.79361,0.000788366,0.000788366,0.000788366
90,2181.68,1.10215,0.90412,1.30181,0.54816,0.75218,0.63442,0.32372,1.68461,1.13796,1.7424,0.000784699,0.000784699,0.000784699
91,2202.54,1.06388,0.85821,1.2738,0.53418,0.74277,0.68624,0.36939,1.64912,1.14388,1.77,0.000781033,0.000781033,0.000781033
92,2223.38,1.07908,0.87194,1.2839,0.68709,0.70515,0.72455,0.37763,1.73064,1.01041,1.78983,0.000777367,0.000777367,0.000777367
93,2244.3,1.07307,0.87792,1.28303,0.61568,0.62214,0.67184,0.35705,1.68394,1.17446,1.74316,0.0007737,0.0007737,0.0007737
94,2265.44,1.05197,0.88084,1.26561,0.56009,0.73862,0.68929,0.34995,1.7629,1.19723,1.90425,0.000770034,0.000770034,0.000770034
95,2286.41,1.08095,0.88896,1.28773,0.62499,0.68383,0.66457,0.36063,1.69642,1.14501,1.76296,0.000766368,0.000766368,0.000766368
96,2307.38,1.05078,0.86069,1.27765,0.61029,0.62653,0.64701,0.33923,1.64725,1.09173,1.73588,0.000762702,0.000762702,0.000762702
97,2328.29,1.07508,0.8856,1.27609,0.65242,0.66587,0.68195,0.36426,1.65932,1.11319,1.74971,0.000759035,0.000759035,0.000759035
98,2349.25,1.06506,0.86618,1.27304,0.52909,0.71425,0.65968,0.36015,1.67583,1.11125,1.78095,0.000755369,0.000755369,0.000755369
99,2370.19,1.06004,0.84399,1.27604,0.63302,0.67375,0.67639,0.3528,1.66309,1.06882,1.78296,0.000751703,0.000751703,0.000751703
100,2391.11,1.03875,0.86387,1.25301,0.50404,0.79294,0.6754,0.34901,1.70255,1.17586,1.79798,0.000748036,0.000748036,0.000748036
101,2412.25,1.07438,0.86878,1.27836,0.59873,0.66668,0.66772,0.36837,1.67,1.10341,1.78993,0.00074437,0.00074437,0.00074437
102,2433.3,1.04091,0.83191,1.2659,0.49827,0.75401,0.66674,0.36775,1.63913,1.08584,1.74623,0.000740704,0.000740704,0.000740704
103,2454.26,1.04367,0.82747,1.25598,0.49958,0.786,0.64326,0.33276,1.64767,1.15867,1.74312,0.000737037,0.000737037,0.000737037
104,2475.11,1.00511,0.82289,1.23784,0.59089,0.62602,0.66547,0.35635,1.65725,1.08715,1.76682,0.000733371,0.000733371,0.000733371
105,2496.16,1.0407,0.87706,1.26281,0.55461,0.68684,0.62613,0.3306,1.69476,1.1176,1.81813,0.000729705,0.000729705,0.000729705
106,2517.15,1.01449,0.81586,1.245,0.54258,0.77768,0.68989,0.37092,1.70462,1.04412,1.80337,0.000726038,0.000726038,0.000726038
107,2538.06,1.02287,0.83018,1.24895,0.57047,0.72081,0.70081,0.37732,1.69464,1.06041,1.81796,0.000722372,0.000722372,0.000722372
108,2559.06,1.02263,0.82357,1.24683,0.68071,0.64765,0.6854,0.37784,1.66444,1.12581,1.77683,0.000718706,0.000718706,0.000718706
109,2579.98,1.01908,0.80559,1.22703,0.76477,0.59495,0.71588,0.39853,1.64201,1.01047,1.73037,0.00071504,0.00071504,0.00071504
110,2600.99,1.01036,0.80341,1.24423,0.57492,0.75131,0.68112,0.37941,1.65136,1.08424,1.77342,0.000711373,0.000711373,0.000711373
111,2621.96,0.98669,0.78204,1.21366,0.60858,0.62384,0.66209,0.36266,1.65935,1.14907,1.74967,0.000707707,0.000707707,0.000707707
112,2642.92,1.01558,0.79108,1.23042,0.65034,0.64144,0.69406,0.35782,1.70657,1.09663,1.84292,0.000704041,0.000704041,0.000704041
113,2663.89,1.01672,0.81923,1.23782,0.64429,0.66362,0.68138,0.3667,1.67201,1.08679,1.78189,0.000700374,0.000700374,0.000700374
114,2684.92,0.99989,0.79376,1.2289,0.61297,0.66855,0.67646,0.36404,1.67292,1.10951,1.78544,0.000696708,0.000696708,0.000696708
115,2705.94,0.97303,0.81188,1.21731,0.6678,0.61967,0.68463,0.36982,1.6719,1.09369,1.78617,0.000693042,0.000693042,0.000693042
116,2726.91,0.97715,0.80412,1.21619,0.66178,0.64563,0.6632,0.35682,1.68739,1.1721,1.83134,0.000689376,0.000689376,0.000689376
117,2747.92,0.98049,0.78618,1.21192,0.57622,0.68349,0.70637,0.37002,1.69608,1.17214,1.76312,0.000685709,0.000685709,0.000685709
